Name,Sub-Domain,Field,Country,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Author,Popularity,Tags,Note
National Security and Defence Documents Dataset (1987-2025) v3.0,"Governance, Risk and Compliance",Cybersecurity,Global,"The dataset supports diverse research applications including comparative content analysis across countries and organisations (threat perception, policy ...",https://datashare.ed.ac.uk/handle/10283/9156,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Synthetic Banking Transaction Dataset with Multi-Pattern Fraud ...,Identity Access and Management,Cybersecurity,Global,"2. 100,000 unique synthetic customer profiles and 20,000 merchant entities. 3. Four embedded fraud pattern types: card testing, account takeover, money ...",https://data.mendeley.com/datasets/ktbthg777x/1,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Account Takeover Detection,Incident Response and Forensics,Cybersecurity,Global,"Account Takeover Detection This dataset provides detailed records of account takeover incidents, capturing unauthorized access attempts, credential compromises, device and contact information changes, and abnormal transactions. It includes detection methods, response actions, and resolution status, ",https://gomask.ai/marketplace/datasets/account-takeover-detection,,Website,HTML,,,,,,CC0-1.0,,,,,,15/07/2026,,,,
Enterprise Fraud Detection Dataset,Identity Access and Management,Cybersecurity,Global,"About Dataset ; Card Testing · Account Takeover; Fraud Ring ; Customer behavioral profiles (credit score, account age, spending history) · Graph/network features ( ...",https://www.kaggle.com/datasets/mohamedasak/enterprise-fraud-detection-dataset,1,Dataset,,0.00,,,,,Apache-2.0,,,,,,15/07/2026,,,,
Amber-20,Incident Response and Forensics,Cybersecurity,Global,"An in-depth forensic analysis of a computer disk image, extracting and identifying critical artifacts such as emails, credit card numbers, URLs, and specific keywords. This project evaluates tool limitations and forensic investigation capabilities to gain insights into the effectiveness of digital f",https://github.com/Amber-20/Disk-Image-Forensic-Analysis,,Repository,,0.01,,,,,MIT,2025-12-30,,,,,15/07/2026,,,,
How to Create a Forensic Image with FTK Imager?,Incident Response and Forensics,Cybersecurity,Global,A Forensic Image is most often needed to verify the integrity of the image after an acquisition of a Hard Drive has occurred. This is usually performed by ...,https://www.geeksforgeeks.org/ethical-hacking/how-to-create-a-forensic-image-with-ftk-imager/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Bot-IoT Dataset,Network Security,Cybersecurity,Global,"The Bot-IoT dataset is a large-scale IoT security resource that combines realistic benign IoT network traffic with diverse botnet attack scenarios. It provides both raw packet captures and processed network flow features, making it versatile for various research approaches.",https://iotdataset.com/data/bot-iot-large-scale-botnet-dataset,,Website,HTML,,,,,,CC BY 4.0,2026-01-23,,,,,15/07/2026,,,,
Dataset Comparison,Network Security,Cybersecurity,Global,"The dataset is designed for intrusion detection and includes both benign and malicious traffic, particularly emphasizing botnet activity in IoT environments.",https://data.mendeley.com/datasets/compare/kpf792wgsf,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
N-BaIoT Dataset,Network Security,Cybersecurity,Global,The N-BaIoT dataset focuses specifically on detecting botnet-infected IoT devices through network traffic behavioral analysis. This dataset addresses the growing threat of IoT botnets like Mirai that compromised millions of devices worldwide for massive DDoS attacks.,https://iotdataset.com/data/n-baiot-botnet-detection-dataset,,Website,HTML,,,,,,CC BY 4.0,2026-01-23,,,,,15/07/2026,,,,
Multi-Agent Penetration Testing AI for the Web,Penetration Testing,Cybersecurity,Global,"We achieve 76.9% success across 104 XBOW challenges, with perfect performance on SSRF and misconfiguration vulnerabilities and strong results on server-side ...",https://arxiv.org/html/2508.20816v1,1,Document,PDF,0.13,,,,,CC BY 4.0,2025-08-29,,,,,15/07/2026,,,,
Windows-APT 2025: A Dataset for APT-Inspired Attack Scenarios on ...,Threat Intelligence,Cybersecurity,Global,"The Windows-APTs Dataset 2025 provides a comprehensive collection of 36 simulated Advanced Persistent Threat (APT) scenarios, specifically designed to enhance understanding of tactics employed by Chinese threat actors. Utilizing the Caldera framework for adversary emulation and Wazuh for detailed lo",https://data.mendeley.com/datasets/b8fmtzvpy8/2,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
hackerman700000,Threat Intelligence,Cybersecurity,Global,"APT CTI Reports Dataset. A collection of 2,710 PDF reports on Advanced Persistent Threats (APT) and Cyber Threat Intelligence (CTI). Structure. ├── apt_groups ...",https://huggingface.co/datasets/hackerman700000/apt-cti-reports,,Dataset,,,,,,,MIT,2026-02-13,,,,,15/07/2026,,,,
CrossCommitVuln-Bench: A Dataset of Multi-Commit Python Vulnerabilities ...,Application Security,Cybersecurity,Global,"The dataset, anno-tation schema, evaluation scripts, and reproducible baselines are released under open-source licenses to support research on cross-commit vulnerability detection.",https://arxiv.org/pdf/2604.21917,1,Document,PDF,0.44,,,,,CC BY 4.0,2026-04-24,,,,,15/07/2026,,,,
CrossCommitVuln-Bench: A Dataset of Multi-Commit Python Vulnerabilities,Penetration Testing,Cybersecurity,Global,"Abstract. We present CrossCommitVuln-Bench, a curated benchmark of 15 real-world Python vulnerabilities (CVEs) in which the exploitable condition was introduced across multiple commits—each individually benign to per-commit static analysis—but collectively critical. We manually annotate each CVE wit",https://arxiv.org/html/2604.21917v1,1,Document,PDF,0.10,,,,,CC BY 4.0,2026-04-24,,,,,15/07/2026,,,,
nqaisme,Application Security,Cybersecurity,Global,"A C/C++ Code Vulnerability Dataset with Code Changes and CVE Summaries. In MSR '20: The 17th International Conference on Mining Software Repositories,May 25-26, 2020, MSR, Seoul, South Korea.",https://github.com/nqaisme/big-vul-dataset,,Repository,,25.40,,,,,MIT,2026-01-17,,,,,15/07/2026,,,,
VPLocator: Vulnerability Patch Localization Model Based on LLM,Vulnerability Management,Cybersecurity,Global,The VPLocator Dataset identifies patch commits by checking extra references and matching CVE-IDs. This dataset comprises 2755 CVE vulnerabilities from NVD and ...,https://www.sciopen.com/article/10.26599/TST.2024.9010198,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
BigQuery audit logs overview,Cloud Security,Cybersecurity,Global,Cloud Audit Logs are a collection of logs provided by Google Cloud that provide insight into operational concerns related to your use of Google Cloud ...,https://docs.cloud.google.com/bigquery/docs/reference/auditlogs,1,Website,HTML,0.51,,,,,CC BY 4.0,2026-07-10,,,,,15/07/2026,,,,
Understanding audit logs,Cloud Security,Cybersecurity,Global,"Some Google Cloud services still use the older serviceData field to list service-specific information. For a list of services that use the serviceData field, see Service-specific audit data. A log name: Audit log entries belong to logs within billing accounts, projects, folders, and organizations. T",https://docs.cloud.google.com/logging/docs/audit/understanding-audit-logs,1,Website,HTML,0.19,,,,,CC BY 4.0,2026-07-14,,,,,15/07/2026,,,,
Cloud Security Audits: A Step-By-Step Guide & Checklist,"Governance, Risk and Compliance",Cybersecurity,Global,"A cloud security audit involves an assessment of the cloud environment, access controls, data encryption, and also the assessment of security gaps. A third-party security audit firm performs cloud security audits and conducts this process independently.",https://qualysec.com/cloud-security-audits-a-step-by-step-guide/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Ten quick tips for protecting health data using de-identification and ...,Data Security and Privacy,Cybersecurity,Global,"23 Sept 2025 ... Anonymisation of large health datasets prior to research, however, irreversibly removes personal identifiers and can enable scalable and secure health data use ...",https://pmc.ncbi.nlm.nih.gov/articles/PMC12456793/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Introduction to Data De-identification,Data Security and Privacy,Cybersecurity,Global,"Data de-identification is also done to prevent possible re-identification, where participants could be isolated in a dataset and then matched to other information that could identify them with reasonable effort.",https://ubc-library-rc.github.io/rdm/content/10-1_Introduction-Data-Anonymization.html,1,Website,HTML,0.01,,,,,CC BY 4.0,2026-07-14,,,,,15/07/2026,,,,
A decade of cybersecurity research in internal auditing: bibliometric ...,"Governance, Risk and Compliance",Cybersecurity,Global,"Findings indicate a significant rise in cybersecurity-focused internal ... Audit Analytics' cybersecurity database, as data sources. However, these ...",https://link.springer.com/article/10.1007/s43621-025-02031-w,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
capetron,"Governance, Risk and Compliance",Cybersecurity,Global,"The most comprehensive open-source cybersecurity audit resource on GitHub. Free checklists, assessment templates, remediation plans, and automated audit scripts covering network security, endpoint security, cloud security, and email security. Maintained by Petronella Technology Group -- 23+ years pe",https://github.com/capetron/cybersecurity-audit-toolkit,,Repository,,0.03,,,,,MIT,2026-03-06,,,,,15/07/2026,,,,
AlicanKiraz0,"Governance, Risk and Compliance",Cybersecurity,Global,We're on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/datasets/AlicanKiraz0/Cybersecurity-Dataset-Fenrir-v2.0,1,Dataset,,411.24,,,,,Apache-2.0,2026-04-22,,,,,15/07/2026,,,,
Windows Forensic Analysis Playbook,Incident Response and Forensics,Cybersecurity,Global,"Highlighting 6 critical Windows artifacts, this playbook is a field-ready reference built to help DFIR practitioners understand critical Windows artifacts and their role in forensic investigations.",https://www.sans.org/posters/windows-forensic-analysis-playbook,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Anomaly detection in netflow traffic: workflow for dataset preparation ...,Network Security,Cybersecurity,Global,"Jun, 2016 ). This research complements the previously published article ( Roponena et al., 2024 ) on How to prepare a suitable machine learning dataset for NetFlow anomaly analysis? where dataset preparation refers to a method of data collection, preprocessing, and analysis.",https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2025.1676362/full,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Network Traffic Analytics and Flow Data (NetFlow/IPFIX),Network Security,Cybersecurity,Global,"Network Traffic Analytics and Flow Data (NetFlow/IPFIX) This dataset provides comprehensive network flow analytics, capturing source and destination details, protocols, traffic volumes, flow durations, and autonomous system numbers. It includes traffic classification and anomaly detection flags, mak",https://gomask.ai/marketplace/datasets/network-traffic-analytics-and-flow-data-netflowipfix,,Website,HTML,,,,,,CC0-1.0,,,,,,15/07/2026,,,,
BigFlow-NIDS,Network Security,Cybersecurity,Global,"BigFlow-NIDS, a large-scale, NetFlow-based dataset and accompanying analysis pipeline designed for intrusion-detection research in big-data environments. BigFlow-NIDS was created by merging four major benchmark NetFlow datasets (NF-UNSW-NB15-v3, NF-ToN-IoT-v3, NF-BoT-IoT-v3, NF-CSE-CIC-IDS2018-v3) u",https://data.mendeley.com/datasets/nv729tbdgz,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Early Anomaly Detection in Network Traffic Using Deep Learning ...,Network Security,Cybersecurity,Global,"E. Roponena, ""Anomaly Detection in NetFlow Traffic: Workflow for Dataset and Feature Engineering,"" Frontiers in Computer Science, 2025. Frontiers I.Fosić, ""Anomaly Detection in NetFlow Network Traffic Using Machine Learning,"" Procedia Computer Sci, 2023.",https://irjiet.com/article/Early-Anomaly-Detection-in-Network-Traffic-Using-Deep-Learning-Techniques-Based-on-NetFlow-Data/3072,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Detection of hidden privilege escalations in android,Penetration Testing,Cybersecurity,Global,"Unlike current methods emphasizing direct permission misuse, our approach analyzes escalation chains across many app interactions and uncovered 52,982 instances ...",https://link.springer.com/article/10.1007/s10515-025-00542-4,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
xairy,Penetration Testing,Cybersecurity,Global,"2017: ""Proposal of a Method to Prevent Privilege Escalation Attacks for Linux Kernel"" [slides] ... grsecurity CVE-Dataset [spreadsheet]. Syzkaller Coverage ...",https://github.com/xairy/linux-kernel-exploitation,,Repository,,0.67,,,,,CC BY 4.0,2026-07-06,,,,,15/07/2026,,,,
aieng-abdullah,Network Security,Cybersecurity,Global,"Name: Kaggle - Cybersecurity Intrusion Detection Dataset Details: 50,000+ labeled network and system activity records including user behavior, normal and attack patterns.",https://github.com/aieng-abdullah/Cybersecurity-Intrusion-Detection,,Repository,,155.25,,,,,MIT,2025-07-17,,,,,15/07/2026,,,,
Medical Internal Attack Detection Dataset,Threat Intelligence,Cybersecurity,Global,"This dataset captures internal access behavior within healthcare information systems, focusing on security events that occur while authorized users interact ...",https://www.kaggle.com/datasets/zara2099/medical-internal-attack-detection-dataset,1,Dataset,,0.00,,,,,CC0-1.0,,,,,,15/07/2026,,,,
A Longitudinal Study of Recently Observed Malicious Domains,Vulnerability Management,Cybersecurity,Global,Abstract We present a longitudinal study of approximately 1.52 million malicious domains observed on VirusTotal (VT) between January and May 2026. Domains were selected on the basis of detection by at least five independent VT scanning engines and a first-seen date within the study window. We group ,https://arxiv.org/html/2606.11111v1,1,Document,PDF,0.09,,,,,CC BY 4.0,2026-06-10,,,,,15/07/2026,,,,
url phishing,Threat Intelligence,Cybersecurity,Global,"... malicious (phishing) and benign (legitimate) URLs collected from multiple heterogeneous sources, ensuring diversity in terms of domain structure, hosting ...",https://data.mendeley.com/datasets/6nhtnmn2yk/2,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Malicious and Benign URLs dataset,Threat Intelligence,Cybersecurity,Global,"This dataset is a consolidated collection of malicious, phishing, and unsafe URLs gathered from multiple reputable cybersecurity intelligence sources.",https://www.kaggle.com/datasets/nhutrinhanna/malicious-and-benign-urls-datasets,1,Dataset,,0.00,,,,,CC0-1.0,,,,,,15/07/2026,,,,
Benign and Malicious Domains with Lexical and Active Features for ...,Threat Intelligence,Cybersecurity,Global,"This dataset was conceived during research work for machine learning-based detection and classification of malicious domains, combining morphological analysis and active DNS collection techniques.",https://data.mendeley.com/datasets/xc45t9tp96,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Public GenAI Vulnerability Disclosures,Vulnerability Management,Cybersecurity,Global,"0DIN, the 0Day Investigative Network, was founded by Mozilla in 2024 to reward responsible researchers for their efforts in securing GenAI models. This dataset is a weekly export of the public 0DIN disclosures published at the 0DIN disclosures page, in accordance with the 0DIN Research Terms and Dis",https://mozilladatacollective.com/datasets/cmowvw8oq011hnn07re4l1vi3,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Measuring the Vulnerability Disclosure Policies of AI Vendors,Vulnerability Management,Cybersecurity,Global,"Similarly, data leakage or information disclosure vulnerabilities accepted in policies directly correspond to compromise of privacy incidents, which account for 11% of the dataset.",https://arxiv.org/html/2509.06136v1,1,Document,PDF,0.23,,,,,CC BY 4.0,2025-09-09,,,,,15/07/2026,,,,
Cybersecurity Attack Dataset,Application Security,Cybersecurity,Global,"This dataset is a comprehensive, easy-to-understand collection of cybersecurity incidents, threats, and vulnerabilities, designed to help both beginners and ...",https://www.kaggle.com/datasets/tannubarot/cybersecurity-attack-and-defence-dataset,1,Dataset,,0.00,,,,,MIT,,,,,,15/07/2026,,,,
vamanparmar,Penetration Testing,Cybersecurity,Global,The goal of this project is to provide organized payload datasets for multiple web attack vectors used during vulnerability assessments.,https://github.com/vamanparmar/web-attack-payloads,,Repository,,0.03,,,,,MIT,2026-03-15,,,,,15/07/2026,,,,
"Detection of SQL Injection, XSS, and Command Injection Attacks in ...",Application Security,Cybersecurity,Global,"Web Application Security, Payload Classification, XGBoost, SHAP, Mutation Robustness. Abstract. Web application attacks ... dataset in Google Colaboratory. On ...",https://journal-isi.org/index.php/isi/article/view/1655,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
bogdanticu88,Cloud Security,Cybersecurity,Global,"IaC threat modeler with STRIDE, MITRE ATT&CK, and PASTA frameworks. REST API, GraphQL, and Docker support for Terraform, CloudFormation, and Kubernetes. - bogdanticu88/threatmap",https://github.com/bogdanticu88/threatmap,,Repository,,0.92,,,,,MIT,2026-06-30,,,,,15/07/2026,,,,
Data Breach Directory: Browse Known Breaches & Leaked Records,Data Security and Privacy,Cybersecurity,Global,"Browse our complete directory of 760+ data breaches. Search by company, date, or data type exposed. Free breach database with record counts, risk levels, and details.",https://xposedornot.com/xposed,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Data Breach Checker,Cryptography,Cybersecurity,Global,"You provide an identifier; your email address is the most common input, and the tool hashes it, compares it against its database of known breach records, and ...",https://www.dexpose.io/data-breach-checker/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
Cyber Control Framework Mapping 2026 Comprehensive Download,"Governance, Risk and Compliance",Cybersecurity,Global,"Download a free, editable Cyber Control Framework Mapping resource that aligns key controls across leading cyber security standards and frameworks, including SOC 2, ISO 27001 and NIST CSF - built to help you compare requirements, identify overlaps and streamline compliance planning. No email require",https://cypro.co.uk/resources/cyber-control-framework-mapping/,,Website,HTML,,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
Mapping AI Risk Mitigations,"Governance, Risk and Compliance",Cybersecurity,Global,"... Control Framework). However, each document uses its own jargon and has gaps ... Explore the Frameworks in the AI Risk Mitigation Database. This post ...",https://airisk.mit.edu/blog/mapping-ai-risk-mitigations,,Website,HTML,,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
Insider Threat Dataset for Classified Environments,Identity Access and Management,Cybersecurity,Global,"This dataset provides detailed daily activity records of employees operating within a classified and secure organizational environment, focusing on insider ...",https://www.kaggle.com/datasets/efchbd1013/insider-threat-dataset-for-classified-environments,1,Dataset,,0.00,,,,,Apache-2.0,,,,,,15/07/2026,,,,
narendercihe,Identity Access and Management,Cybersecurity,Global,This project implements an unsupervised machine learning pipeline to detect potential insider threats using the CERT Insider Threat Dataset. It analyzes user logon behavior and (optionally) psychometric traits to identify anomalous activity patterns. The system is designed to detect: Unusual login t,https://github.com/narendercihe/insider-threat-detection-cert,,Repository,,0.08,,,,,MIT,2026-04-20,,,,,15/07/2026,,,,
Insider Threat Detection Using GCN and Bi-LSTM with Explicit and ...,Identity Access and Management,Cybersecurity,Global,"2 (22.18 GB) [27] . These datasets include user behaviours across various actions, such as logging on and off, sending emails, accessing files, connecting ...",https://arxiv.org/html/2512.18483v1,1,Document,PDF,0.16,,,,,CC BY 4.0,2025-12-23,,,,,15/07/2026,,,,
r3nzsec,Incident Response and Forensics,Cybersecurity,Global,"AI Artifacts — Collect local AI history from Claude Code, Codex, ChatGPT Desktop, Gemini CLI, Cursor, Copilot, Windsurf, and Continue into one timeline tab; AI Secret Hunt for exposed keys, tokens, and credentials",https://github.com/r3nzsec/irflow-timeline,,Repository,,85.64,,,,,Apache-2.0,2026-06-06,,,,,15/07/2026,,,,
Advancing cyber incident timeline analysis through retrieval-augmented ...,Incident Response and Forensics,Cybersecurity,Global,"Cyber timeline analysis or forensic timeline analysis is critical in digital forensics and incident response (DFIR) investigations. It involves examining artefacts and events---particularly their timestamps and associated metadata---to detect anomalies, establish correlations, and reconstruct a deta",https://repository.londonmet.ac.uk/10080/,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
neatlabs-ai,Network Security,Cybersecurity,Global,"NeatLabs™ Packet Capture Analyzer is an enterprise-grade network forensics and traffic analysis platform designed for cybersecurity professionals, incident responders, threat hunters, and digital forensics teams. The system performs deep packet inspection, protocol dissection, session reconstruction",https://github.com/neatlabs-ai/packet-capture-analyzer,,Repository,,0.04,,,,,MIT,2026-02-20,,,,,15/07/2026,,,,
robust encrypted malicious traffic detection via multi-task graph ...,Network Security,Cybersecurity,Global,"Existing detection methods based on deep learning typically rely on fine-grained features of data packets, such as length sequences and intra-flow interaction ...",https://link.springer.com/article/10.1186/s42400-025-00522-x,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Android Software Malicious Detection Based on Dynamic Network ...,Network Security,Cybersecurity,Global,Tang and Qian [24] extracted API call sequences through dynamic analysis. Malware detection based on network traffic [25] refers to analyzing the ...,https://www.techscience.com/cmc/v88n1/67340/html,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Rule-Based SQL Injection (RbSQLi) Dataset,Penetration Testing,Cybersecurity,Global,"All payloads were carefully curated, anonymized, and structured during preprocessing. Sensitive data was replaced with secure placeholders, preserving semantic ...",https://data.mendeley.com/datasets/xz4d5zj5yw,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Na-Rajan,Network Security,Cybersecurity,Global,"cybersecurity_attacks Consists of 25 varied metrics and 40,000 records Timestamp Source IP Address Destination IP Address Source Port Destination Port Protocol Packet Length Packet Type Traffic Type Payload Data Malware Indicators Anomaly Scores Alerts/Warnings Attack Type Attack Signature Action Ta",https://huggingface.co/datasets/Na-Rajan/CyberAttackClassifications/blob/main/README.md,1,Dataset,,17.03,,,,,MIT,2025-07-27,,,,,15/07/2026,,,,
Linux Log Dataset,Security Operations,Cybersecurity,Global,"This document provides comprehensive documentation of the `Linux2k.log` dataset, which serves as the primary data source for anomaly detection analysis in this repository. The page covers the dataset'",https://deepwiki.com/lynaBoukari/Anomaly-detection-for-Linux-Logs/3-linux-log-dataset,1,Website,HTML,0.71,,,,,Free to use,,,,,,15/07/2026,,,,
Logging & Monitoring Anomalies Dataset,Security Operations,Cybersecurity,Global,Comprehensive Logging & Monitoring Anomalies Dataset (100k Records),https://www.kaggle.com/datasets/mirzayasirabdullah07/logging-and-monitoring-anomalies-dataset,1,Dataset,,0.00,,,,,Apache-2.0,,,,,,15/07/2026,,,,
Detecting and Explaining Malware Family Evolution Using Rule ...,Threat Intelligence,Cybersecurity,Global,"Malware detection and classification into families are fundamental challenges in cybersecurity, as the continuous evolution of malicious code to evade detection ...",https://arxiv.org/html/2602.03489v1,1,Document,PDF,0.11,,,,,CC BY 4.0,2026-02-04,,,,,15/07/2026,,,,
rach-db,Threat Intelligence,Cybersecurity,Global,A deep learning-based malware family classification system that converts binary malware files into grayscale images and uses a convolutional neural network (CNN) trained on the Malimg dataset to identify malware families.,https://github.com/rach-db/ai-malware-family-classifier,,Repository,,0.24,,,,,MIT,2026-01-06,,,,,15/07/2026,,,,
MalwareVision-2025: Image-Based Malware Dataset,Threat Intelligence,Cybersecurity,Global,"11 Sept 2025 ... Malware classification (family-wise or benign vs malicious) · Image-based deep learning experiments (CNN, ResNet, Vision Transformers) · Feature extraction from ...",https://www.kaggle.com/datasets/mohitchauhan04/malwarevision,1,Dataset,,0.00,,,,,CC0-1.0,,,,,,15/07/2026,,,,
Current ICTV Taxonomy Release,Threat Intelligence,Cybersecurity,Global,Taxonomy Browser This taxonomy browser provides access to the current virus taxonomy. This page will be updated whenever a new taxonomy release has been approved by the ICTV. Taxonomy Search Taxonomy Browser Taxonomy Browser Help Download Current Taxonomy Spreadsheet (MSL),https://ictv.global/taxonomy,,Website,HTML,,,,,,CC BY 4.0,2026-07-15,,,,,15/07/2026,,,,
Android Malware Analysis,Threat Intelligence,Cybersecurity,Global,All datasets are organized in CSV format and contain carefully selected static and dynamic features that support effective classification of benign applications ...,https://data.mendeley.com/datasets/bpkksc9v5s,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
[2604.02490] Automated Malware Family Classification using Weighted ...,Threat Intelligence,Cybersecurity,Global,"Malware family classification remains a challenging task in automated malware analysis, particularly in real-world settings characterized by obfuscation, packing, and rapidly evolving threats. Existing machine learning and deep learning approaches typically depend on labeled datasets, handcrafted fe",https://arxiv.org/abs/2604.02490,1,Document,PDF,0.04,,,,,CC BY 4.0,2026-04-06,,,,,15/07/2026,,,,
Automated Malware Family Classification using Weighted Hierarchical ...,Threat Intelligence,Cybersecurity,Global,"Abstract Malware family classification remains a challenging task in automated malware analysis, particularly in real-world settings characterized by obfuscation, packing, and rapidly evolving threats. Existing machine learning and deep learning approaches typically depend on labeled datasets, handc",https://arxiv.org/html/2604.02490,1,Document,PDF,0.31,,,,,CC BY 4.0,2026-04-06,,,,,15/07/2026,,,,
flying-coyote,Vulnerability Management,Cybersecurity,Global,"The KEV list is re-checked every run, so a CVE's cisa_kev flag flips from 0 to 1 the day CISA adds it, even if the vulnerability record itself didn't change. If the change feed ever rolls past where we left off, the build rebuilds the whole dataset from scratch automatically, so it's self-healing.",https://github.com/flying-coyote/nvd-csv,,Repository,,222.54,,,,,MIT,2026-07-14,,,,,15/07/2026,,,,
Independent Reproducibility Guide,Vulnerability Management,Cybersecurity,Global,Download the full NVD CVE dataset from nvd.nist.gov/vuln/data-feeds or query the NVD REST API. Each CVE record includes a published date — this is t_disclosure ...,https://zerodayclock.com/audit,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
Fragmentation of CVSS Scores in the NVD: A Quantitative Analysis of ...,Vulnerability Management,Cybersecurity,Global,"It accompanies the paper ""Fragmentation of CVSS Scores in the NVD: A Quantitative Analysis of Inconsistency Across Vulnerability Scoring Standards."" The dataset comprises 24 yearly JSON files (nvdcve-2.0- {year}.json, years 2002-2025) plus two supplementary feeds (modified, recent), covering over 27",https://data.mendeley.com/datasets/5343z8zfxg,,Website,HTML,,,,,,CC BY 4.0,,,,,,15/07/2026,,,,
dependency-check,Vulnerability Management,Cybersecurity,Global,"NVD could have rate-limited you, which could occur if you have multiple ... --nvdDatafeed https://nvd.nist.gov/feeds/json/cve/2.0/nvdcve-2.0-\{0\}.json.gz.",https://github.com/dependency-check/DependencyCheck/issues/7902,,Repository,,304.85,,,,,Apache-2.0,2026-07-14,,,,,15/07/2026,,,,
Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis ...,Application Security,Cybersecurity,Global,"Abstract This paper presents a comprehensive empirical analysis of security vulnerabilities in AI-generated code across public GitHub repositories. We collected and analyzed 7,703 files explicitly attributed to four major AI tools: ChatGPT (91.52%), GitHub Copilot (7.50%), Amazon CodeWhisperer (0.52",https://arxiv.org/html/2510.26103v1,1,Document,PDF,0.12,,,,,CC BY 4.0,2025-10-31,,,,,15/07/2026,,,,
[2510.26103] Security Vulnerabilities in AI-Generated Code,Application Security,Cybersecurity,Global,"Abstract:This paper presents a comprehensive empirical analysis of security vulnerabilities in AI-generated code across public GitHub repositories. ... Code, Data ...",https://arxiv.org/abs/2510.26103,1,Document,PDF,0.04,,,,,CC BY 4.0,2025-10-31,,,,,15/07/2026,,,,
ibrahmsql,Cloud Security,Cybersecurity,Global,"Enterprise-grade cloud storage security scanner with advanced attack chain analysis, MITRE ATT&CK mapping, and comprehensive reporting CloudVault discovers exposed AWS S3, Google Cloud Storage, and Azure Blob containers through certificate transparency monitoring and provides actionable security ins",https://github.com/ibrahmsql/CloudVault,,Repository,,0.37,,,,,MIT,2025-12-06,,,,,15/07/2026,,,,
"20 Years, Infinite Objects: The Amazon S3 Story",Cloud Security,Cybersecurity,Global,"Photos, backups, data lakes, ML datasets, logs, websites… if it lives in the cloud, there's a decent chance it lives in an S3 bucket. And like any 20-year ...",https://dev.to/aws-builders/20-years-infinite-objects-the-amazon-s3-story-1mie,1,Website,HTML,0.02,,,,,Free to use,,,,,,15/07/2026,,,,
SOCRadar Launches Free FortiBleed Exposure Checker and Publishes the ...,Security Operations,Cybersecurity,Global,"SOCRadar, the global extended threat intelligence company, today announced the public release of its free FortiBleed Exposure Checker, a tool that lets any organization instantly verify whether its IP Addresses or Domains appear in the FortiBleed dataset — one of the largest known collections of com",https://socradar.io/blog/socradar-free-fortibleed-exposure-checker/,,Website,HTML,,,,,,Free to use,,,,,,15/07/2026,,,,
"FortiBleed: Fortinet VPN Credentials Exposed for 73,000 Devices",Cloud Security,Cybersecurity,Global,"On June 17, 2026, security researchers disclosed a massive credential leak affecting Fortinet VPN devices, dubbed ""FortiBleed."" A publicly exposed database containing VPN credentials from over 73,000 Fortinet devices worldwide was discovered on an unsecured cloud storage bucket.",https://threat-modeling.com/fortibleed-fortinet-vpn-credential-leak-june-2026/,,Website,HTML,,,,,,Free to use,2026-07-14,,,,,15/07/2026,,,,
